ID|TotalSales|TotalNetSales|TotalOtherIncome|OwnWorkCapitalised|ChangeInventoryProd|OtherOperatingIncome|iOOIProvisionRelease|iOOISubsidies|iOOISubsidiesExtraord|iOOIExtraordinary|TotalRevenues|Cogs|iCogsRawMaterials|iCogsMerchandise|iCogsSubdeliveries|PersonnelExpenses|SGAOtherOpExpenses|iSGABadDebtProv|iSGAExtraordinary|DepreciationAndAmortization|Ebit|Ebitda|EbitdaMargin|TradingMargin|ProductionMargin|InterestIncome|InterestExpense|NetInterestResult|FXGains|FXLosses|NetFXResult|GroupInvestResult|iSubsidiarySales|NetFinancialResult|ExtraordinaryIncome|iExtraordFixedAssetsReval|iExtraordProvRelease|ExtraordinaryExpenses|iExtraordFAWriteDowns|iExtraordProvTransfer|NetExtraordinaryResult|IncomeTaxes|NetProfitLoss|CashBankDeposits|STSecurities|OtherSTFinAssets|CashAndCashEquivalents|TradeReceivables|IntragroupReceivables|ReceivablesTaxAuthority|OtherReceivables|iOtherReceivablesOwners|TotalReceivables|RawMaterials|Merchandise|TotalInventory|PrepaidExpenses|TotalCurrentAssets|LandBuildings|PlantMachinery|FurnitureEquipment|AdvancesTangibleAssets|TangibleAssetsInProgress|TangibleFixedAssets|RightsPatents|OtherCapitalizedExpenses|IntangibleFixedAssets|OtherLTFinancialAssets|TotalFixedAssets|TotalAssets|STBankLoans|OtherSTLoansNonBank|SubtotalSTInterestBearingDebt|STAccountsPayables|STIntragroupPayables|STProvisions|AccruedExpenses|PayablesTaxAuthority|DividendsPayable|OtherSTLiabilities|TotalSTLiabilities|LTBankLoans|SHLoansGranted|CapitalizedLeaseObligations|SubtotalLTInterestBearingDebt|OtherLTLiabilities|TotalLTLiabilities|TotalLiabilities|SeniorDebt|ShareCapital|SharePremium|RevaluationReserve|OtherReserves|AccumulatedRetainedEarnings|TreasuryStock|OtherEquity|Equity|EquityRatio|BalFigCheck|NoEmployeesEop|NoEmployeesAvg|ProductivityPerEmployee|AvgEmployeeCost|CollectionPeriod|InventoryPeriod|PayablesPeriod|CurrentRatio|QuickRatio|LiquidAssetsRatio|OperatingCycle|FinancingGap|WorkingCapitalNeed|NetSeniorDebtByEbitda|InterestCover|EBITDAInterestCoverage|EstimatedInterestRate|AssetTurnover|FixedAssetTurnover|CurrentAssetTurnover|Gearing|Leverage|STFinancingRatio|WkLoansRatio|ReturnOnAssets|ReturnOnFixedAssets|ReturnOnCurrentAssets|ReturnOnEquity|CFSustTotalSales|CFSustEBITDA|CFMaintCapex|CFInterestExpense|CFIncomeTax|CFMandatoryDividends|CFFreeCashFlow|CFMultiplier|CFCashFlowValuation|CFMaxLeverageST|CFMaxLeverageLT|CFSeniorDebt|CFWkExcessDeficit|CFHeadroomAvailable|CFHeadroomST|CFHeadroomLT|CFSeniorDebtByFCF|CFHeadroomByFCF|EstimatedFreeAssets|TotalOverdueDebts|TotalOverduePayables|OverduePayables1M|OverduePayables3M|OverduePayables12M|OverdueTaxDebts|OverdueDebtsOther|iTotalOverdueReceivables|TotalOverdueReceivables|OverdueReceivablesBacklog|iOverdueReceivablesBudget|OverdueTaxReceivables|LTReceivables|UnsaleableInventory|ShareOverdueDebts|ShareOverduePayables|ShareOverdueReceivables|ShareUnsaleableInventory
1|8,957,830,866|8,870,586,009|60,259,777|0|0|60,259,777|15,138,111|0|0|0|8,930,845,786|8,454,839,253|20,231,242|8,026,685,169|407,922,842|112,203,814|3,536,408|0|0|8,471,918|351,794,393|360,266,311|0.04|1.11|0|3,550,509|77,839|3,472,670|27,578,958|15,848,435|11,730,523|0|0|15,203,193|4,640,645|0|4,640,645|7,582,401|0|7,582,401|-2,941,756|58,573,700|305,482,130|284,270,016|271,601,080|-254,258,114|301,612,982|477,684,041|0|817,444|583,566|0|479,085,051|0|379,770,614|379,770,614|5,458,902|1,165,927,549|694,467|3,606,594|10,951,965|0|4,202,839|19,455,865|74,175|0|74,175|108,728|19,638,768|1,185,566,317|0|0|0|240,224,647|0|16,406,136|0|583,675,763|0|37,928,814|878,235,360|0|0|0|0|0|0|878,235,360|0|929,970|0|2,170|427,706|305,971,111|0|0|307,330,957|0|0|708|679|13,192,682|165,249|19|16|10|1.33|0.90|0.25|36|25|287,692,189|-0.84|4,475|4,628|0|8|456|8|0|0|0|0|0|16|0|1|8,957,830,867|360,266,312|2,541,575|77,840|56,274,649|0|301,372,248|4|1,205,488,992|-19,379,695|1,224,868,687|1|-287,692,189|1,493,181,180|-19,379,695|1,512,560,875|-1|5|316,278,605|0|0|0|0|0|0|0|0|0|0|0|0|108,728|0|0|0|0|0
2|3,882,396,770|3,882,396,770|48,077,887|0|0|48,077,887|0|0|0|0|3,930,474,657|3,460,175,636|2,161,060,862|194,658|1,298,920,116|79,512,933|393,206,517|5,965,921|0|12,664,483|-15,084,912|-2,420,429|(0.00)|1.00|1|2,149,085|0|2,149,085|18,679|21,342|-2,663|0|0|2,146,422|18,193,689|78,693|18,114,996|653,772|339,347|314,425|17,539,917|3,036,284|1,565,143|172,752,348|61,793|46,491,012|219,305,153|570,168,010|7,043,155|0|7,180,149|0|584,391,314|8|0|8|16,918,545|820,615,020|68,643,558|8,391,133|4,237,575|0|350,968|81,623,234|13,420,110|0|13,420,110|10,485|95,053,829|915,668,849|0|0|0|284,465,599|257,358,193|6,243,764|3,517,552|66,520,206|0|20,042,418|638,147,732|0|0|41,061,718|41,061,718|20,306,737|61,368,455|699,516,187|41,061,718|62,109,560|0|46,150,237|104,719,076|3,173,789|0|0|216,152,662|0|0|945|996|3,897,989|79,832|54|0|57|1.29|1.29|0.24|54|-3|182,467,288|73.64|0|-|0|4|41|5|0|0.05|0|0|0|0|0|0|3,882,396,771|-2,420,428|3,799,345|1|-2,413,586|0|-3,806,188|4|-15,224,752|-53,756,410|38,531,658|41,061,719|-182,467,288|126,180,817|-53,756,410|179,937,227|37|-33|169,666,539|0|0|0|0|0|0|0|338,063,749|0|338,063,749|109,194,288|0|10,485|0|0|0|0|0
3|3,141,357,439|3,130,805,436|38,436,347|0|31,588,162|6,848,185|0|0|5,756,553|0|3,169,241,783|1,972,716,783|1,320,864,409|201,593,690|450,258,684|202,601,311|15,167,143|1,577,556|0|137,612,067|841,144,479|978,756,546|0.31|1.09|2|1,042,514|89,107|953,407|30,846,680|38,903,240|-8,056,560|0|0|-7,103,153|1,868,954|0|1,868,954|4,587,814|0|4,587,814|-2,718,860|133,781,817|697,540,649|341,709,710|0|90,254|341,799,964|80,934,547|122,959,533|8,992,904|831,762|0|213,718,746|174,627,120|112,308,408|286,935,528|238,417|842,692,655|185,691,635|572,952,329|7,517,814|35,779|9,487,657|775,685,214|3,910,683|0|3,910,683|32,000|779,627,897|1,622,320,552|0|0|0|258,732,323|0|1,685,250|0|8,596,737|0|25,209,260|294,223,570|0|134,915,914|0|134,915,914|28,698,004|163,613,918|457,837,488|134,915,914|100,881,150|0|66,237,064|20,176,231|977,188,619|0|0|1,164,483,064|1|0|2,506|2,423|1,296,474|83,616|24|53|48|2.86|1.89|0.21|77|29|548,469,085|-0.21|9,429|10,984|0|2|4|4|0|0|0|0|0|1|1|1|3,141,357,440|978,756,547|41,283,620|89,108|134,568,860|0|802,814,959|4|3,211,259,838|206,430,704|3,004,829,134|134,915,915|-548,469,085|3,624,813,008|206,430,704|3,418,382,304|-1|5|439,605,107|0|0|0|0|0|0|0|0|0|0|0|0|3,532,075|0|0|0|0|0
4|1,787,258,789|1,785,980,667|50,344,200|0|40,631,544|9,712,656|2,927,705|0|0|0|1,836,324,867|1,380,854,329|1,020,796,423|56,238,739|303,819,167|142,070,457|15,764,846|0|0|109,020,064|188,615,171|297,635,235|0.16|1.07|1|776,869|88|776,781|19,486,570|62,200,334|-42,713,764|0|0|-41,936,983|7,053,910|6,787,361|266,549|45,975,403|42,755,114|3,220,289|-38,921,493|22,831,386|84,925,309|24,100|41,911,141|76,772|42,012,013|130,803,438|572,997,487|16,145,506|594,358|0|720,540,789|336,791,922|114,995,060|451,786,982|1,880,054|1,216,219,838|575,011,017|465,684,918|4,135,677|0|18,963,773|1,063,795,385|13,272,815|0|13,272,815|198,436|1,077,266,636|2,293,486,474|0|0|0|127,973,019|56,264,493|2,138,282|0|17,067,297|0|6,449,024|209,892,115|0|0|0|0|15,233,081|15,233,081|225,125,196|0|338,327,800|0|355,435,437|77,434,128|1,297,163,913|0|0|2,068,361,278|1|0|1,832|1,723|1,037,295|82,455|144|119|49|5.79|3.64|0.02|263|214|1,006,327,723|-0.14|2,134,527|3,382,219|0|1|2|1|0|0|0|0|0|0|0|0|1,787,258,790|297,635,236|32,706,019|89|30,178,413|0|234,750,715|4|939,002,858|536,177,637|402,825,221|1|-1,006,327,723|1,945,330,580|536,177,637|1,409,152,943|-4|8|756,360,914|2,284,250|2,284,250|409,479|1,874,771|0|0|0|0|0|0|0|0|198,436|0|0|0|0|0
5|1,769,402,992|1,768,907,615|-28,628,367|0|-32,782,814|4,154,447|0|473,664|0|0|1,740,279,248|1,510,722,081|1,213,034,618|49,780,119|247,907,344|103,172,338|15,124,653|3,946,110|0|120,604,351|-9,344,175|111,260,176|0.06|1.03|1|636,108|4,932,376|-4,296,268|94,588,872|90,100,503|4,488,369|33,877,148|0|34,069,249|3,902,848|0|3,902,848|10,708,838|0|10,708,838|-6,805,990|0|17,919,084|14,133,632|4,851,674|318|18,985,624|245,484,262|0|90,677,423|-921,150|0|335,240,535|234,981,268|65,104,503|300,085,771|1,000,339|655,312,269|444,621,214|710,784,603|1,362,590|6,810,161|4,029,223|1,167,607,791|16,176,353|0|16,176,353|118,022,725|1,301,806,869|1,957,119,138|263,151,886|0|263,151,886|118,420,623|0|138,881,579|0|35,418,388|0|-58,726,937|497,145,539|110,667,875|63,200,000|65,552,442|239,420,317|0|239,420,317|736,565,856|502,572,203|10,000|0|13,639,493|276,191,324|930,712,465|0|0|1,220,553,282|1|0|2,027|1,945|909,719|53,045|51|73|29|1.32|0.71|0.01|123|95|158,166,730|4.35|-1|23|0|1|1|3|0|0|2|0|0|0|0|0|1,769,402,993|111,260,177|36,181,305|4,932,377|-2,284,248|0|72,430,743|4|289,722,971|401,332,653|-111,609,682|502,572,204|-421,318,616|208,469,383|208,469,383|0|1|3|580,360,984|24,210,225|24,210,225|22,802,504|1,309,999|97,722|0|0|11,293,784|0|0|0|0|116,996,004|0|0|0|0|0
6|1,697,686,017|1,469,749,224|1,034,238|0|0|1,034,238|148,906|0|0|0|1,470,783,462|1,428,626,545|-20,572|1,134,042,723|294,604,394|11,591,722|7,822,939|0|0|0|22,742,256|22,742,256|0.02|1.30|0|2,121,974|220,269|1,901,705|108,688|130,967|-22,279|0|0|1,879,426|0|0|0|0|0|0|0|3,427,175|21,194,507|745,164|0|16,576,042|17,321,206|46,795,750|153,994,401|39,051,393|60,596|0|239,902,140|0|0|0|15,120|257,238,466|0|0|0|0|0|0|0|0|0|0|0|257,238,466|26,097|0|26,097|176,535,557|0|0|0|1,809,810|0|1,640|178,373,104|0|0|0|0|6,310,522|6,310,522|184,683,626|26,097|762,520|3,494,775|0|5,490,144|62,807,401|0|0|72,554,840|0|0|46|46|36,906,218|251,994|43|0|45|1.44|1.44|0.07|43|-2|78,865,362|-0.76|95|103|8|7|0|7|0|0|0|0|0|0|0|0|1,697,686,018|22,742,257|0|220,270|3,603,518|0|18,918,469|4|75,673,876|61,555,133|14,118,743|26,098|-78,891,459|154,539,237|61,555,133|92,984,104|-4|8|-64,882,952|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|1,257,024,008|1,257,024,008|2,601,840|0|0|2,601,840|0|0|0|0|1,259,625,848|1,181,625,020|35,619,471|942,098,317|203,907,232|111,866,552|14,356,351|2,042,472|0|35,746,564|-83,968,639|-48,222,075|(0.04)|1.28|0|68|853,007|-852,939|133,800|227,313|-93,513|0|0|-946,452|0|0|0|0|0|0|0|0|-84,915,091|33,422,220|0|13,204,798|46,627,018|4,611,392|12,234,895|17,776,019|8,373,763|0|42,996,069|20,225,156|116,521,716|136,746,872|2,212,287|228,582,246|89,405,403|72,561,106|35,227,395|51,821|1,152,543|198,398,268|7,114,440|0|7,114,440|1,142,035|206,654,743|435,236,989|0|0|0|188,611,959|141,292,375|3,775,505|0|5,404,333|0|10,183,202|349,267,374|0|0|1,376,786|1,376,786|0|1,376,786|350,644,160|1,376,786|40,662,248|0|27,837,202|74,548,703|-58,455,324|0|0|84,592,829|0|0|3,008|2,987|420,832|37,451|5|42|102|0.65|0.26|0.11|47|-55|-120,685,128|0.94|-97|-57|1|3|6|5|0|0|0|0|0|0|0|-1|1,257,024,009|-48,222,074|10,723,969|853,008|-13,571,463|0|-46,227,588|4|-184,910,351|-169,524,433|-15,385,918|1,376,787|120,685,128|-306,972,266|-306,972,266|0|-3|7|77,838,932|17,582,474|17,582,474|16,599,715|952,991|29,768|0|0|0|0|0|0|0|0|0|0|0|0|0
8|1,170,672,418|1,170,672,418|10,831,599|0|0|10,831,599|5,243,312|0|0|0|1,181,504,017|752,377,793|149,727,556|12,313|602,637,924|205,662,521|53,004,909|0|0|0|170,458,794|170,458,794|0.14|14.43|2|1,569,009|0|1,569,009|39,066|39,043|23|0|0|1,569,032|10,025,644|0|10,025,644|30,968,472|0|30,968,472|-20,942,828|28,582,406|122,502,592|6,481,472|0|-217,178|6,264,294|299,372,560|379,783,165|6,050,652|612,877|0|685,819,254|9,571,412|0|9,571,412|167,390|701,822,350|0|0|0|0|0|0|0|0|0|158,332|158,332|701,980,682|0|0|0|248,195,048|0|115,185,400|281,814|26,078,412|0|38,433,113|428,173,787|0|0|0|0|51,297,908|51,297,908|479,471,695|0|71,750,240|13,930,667|0|14,350,048|122,478,032|0|0|222,508,987|0|0|2,521|2,545|459,989|80,810|212|5|120|1.64|1.62|0.01|216|96|273,648,563|-0.04|0|0|0|2|7,394|2|0|0|0|0|0|774|0|1|1,170,672,419|170,458,795|0|1|27,273,407|0|143,185,387|4|572,741,548|267,216,879|305,524,669|1|-273,648,563|846,390,110|267,216,879|579,173,231|-2|6|30,374,462|0|0|0|0|0|0|0|155,883,193|0|0|0|0|158,332|0|0|0|0|0
9|1,122,155,678|1,086,551,930|31,388,296|0|0|31,388,296|12,597,272|0|0|0|1,117,940,226|580,798,848|6,227,702|272,110,402|302,460,744|98,336,544|31,055,556|0|0|16,326,017|391,423,261|407,749,278|0.36|3.95|0|1,801,462|7,585|1,793,877|1,765,583|1,297,162|468,421|0|0|2,262,298|20,161,089|0|20,161,089|13,701,203|0|13,701,203|6,459,886|63,381,967|336,763,478|8,141,720|0|20,996,080|29,137,800|209,312,668|363,111,774|15,446,254|411,931|0|588,282,627|13,592,751|255,831,564|269,424,315|1,062,927|887,907,669|1,565,067|22,923,693|16,008,224|0|229,094|40,726,078|1,221,222|0|1,221,222|0|41,947,300|929,854,969|0|0|0|43,157,460|25,589,333|10,955,299|0|414,585,746|0|4,261,906|498,549,744|0|0|0|0|0|0|498,549,744|0|73,915,960|0|10,008|15,168,379|342,210,878|0|0|431,305,225|0|0|709|686|1,635,795|143,348|186|169|43|1.78|1.24|0.03|356|312|389,357,925|-0.07|51,368|53,757|0|1|27|1|0|0|0|0|0|8|0|1|1,122,155,679|407,749,279|4,897,805|7,586|62,626,508|0|340,217,380|4|1,360,869,519|336,646,704|1,024,222,815|1|-389,357,925|1,750,227,443|336,646,704|1,413,580,739|-1|5|238,648,865|2,771,517|2,771,517|2,647,622|110,383|13,512|0|0|27,436,609|0|0|0|0|120,360|0|0|0|0|0
10|1,122,133,412|897,554,948|1,859,419|0|0|1,859,419|0|0|0|0|899,414,367|829,737,376|1,798,164|543,851,976|284,087,236|40,289,785|3,713,345|1,441|0|5,080,213|20,593,648|25,673,861|0.03|1.59|0|60,087|85|60,002|530,356|647,551|-117,195|0|0|-57,193|0|0|0|631,216|0|631,216|-631,216|3,627,954|16,277,285|98,533|0|800,001|898,534|62,379,227|98,723,822|1,156,522|2,112,199|0|164,371,770|1,368,486|93,891|1,462,377|60,384|166,793,065|13,138|6,659,565|807,544|0|200,713|7,680,960|11,888,495|0|11,888,495|21,486,198|41,055,653|207,848,718|0|0|0|64,076,649|0|2,968,696|0|1,293,095|0|7,382,119|75,720,559|0|63,386,961|0|63,386,961|0|63,386,961|139,107,520|63,386,961|43,072,112|0|0|8,976,093|16,692,993|0|0|68,741,198|0|0|239|227|4,943,319|177,488|52|1|28|2.20|2.18|0.00|53|25|91,072,506|2.43|241,572|302,045|0|5|27|7|1|0|0|0|0|0|0|0|1,122,133,413|25,673,862|1,524,064|86|3,294,970|0|20,854,742|4|83,418,968|90,113,588|-6,694,620|63,386,962|-91,072,506|111,104,512|90,113,588|20,990,924|-1|5|9,566,849|0|0|0|0|0|0|0|0|0|0|0|270,920|104,407|0|0|0|0|0
