ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
1|8|9|1|
2|8|6|40|13.333333333333
3|12|10|5|1.6666666666667
4|9|1|29|3.2222222222222
5|12|5|8|1
6|6|3|44|11
7|8|3|21|3.5
8|10|11|1|
9|9|9|13|13
10|9|1|43|4.7777777777778
11|9|1|59|6.5555555555556
12|12|13|2|
13|3|3|36|36
14|12|1|243|20.25
15|5|6|10|
16|12|1|88|7.3333333333333
17|4|1|80|20
18|10|10|2|2
19|8|9|1|
20|6|6|13|13
21|8|7|16|8
22|6|6|15|15
23|1|1|15|15
24|10|2|32|3.5555555555556
25|1|1|13|13
26|5|1|96|19.2
27|12|13|1|
28|8|7|4|2
29|9|10|4|
30|1|1|30|30
31|1|1|11|11
32|7|7|5|5
33|4|4|6|6
34|9|10|1|
35|12|13|3|
36|8|8|3|3
37|6|5|20|10
38|6|7|9|
39|6|5|7|3.5
40|2|2|11|11
41|4|1|23|5.75
42|9|10|5|
43|9|7|28|9.3333333333333
44|9|8|10|5
45|7|8|9|
46|5|5|27|27
47|12|10|6|2
48|5|5|12|12
49|6|1|55|9.1666666666667
50|8|9|4|
51|8|9|5|
52|2|2|15|15
53|6|6|16|16
54|12|9|5|1.25
55|6|4|15|5
56|6|2|128|25.6
57|10|10|3|3
58|3|4|7|
59|9|10|1|
60|0|1|11|
61|5|5|7|7
62|7|7|18|18
63|10|10|2|2
64|6|6|4|4
65|12|13|4|
66|7|6|22|11
67|6|6|6|6
68|10|9|3|1.5
69|9|1|6|0.66666666666667
70|6|6|8|8
71|6|6|8|8
72|12|6|4|0.57142857142857
73|12|10|2|0.66666666666667
74|1|2|9|
75|6|6|14|14
76|12|8|2|0.4
77|7|6|14|7
78|12|13|4|
79|12|5|12|1.5
80|7|6|9|4.5
81|6|6|8|8
82|10|11|1|
83|9|9|3|3
84|12|13|8|
85|7|7|4|4
86|1|1|22|22
87|9|10|1|
88|1|2|9|
89|0|1|21|
90|6|6|4|4
91|7|7|6|6
92|9|7|26|8.6666666666667
93|4|3|11|5.5
94|10|11|1|
95|1|1|15|15
96|3|3|12|12
97|5|6|4|
98|6|6|5|5
99|4|5|10|
100|5|5|7|7
101|6|6|5|5
102|6|6|4|4
103|0|1|7|
104|10|9|2|1
105|10|11|1|
106|9|8|10|5
107|6|7|5|
108|4|4|9|9
109|3|1|34|11.333333333333
110|4|5|13|
111|5|5|6|6
112|9|9|6|6
113|10|11|1|
114|5|1|193|38.6
115|9|1|57|6.3333333333333
116|8|7|12|6
117|10|10|4|4
118|2|1|21|10.5
119|9|10|1|
120|12|13|3|
121|12|13|1|
122|5|5|12|12
123|2|2|9|9
124|5|5|7|7
125|10|9|11|5.5
126|6|7|7|
127|5|6|10|
128|10|9|10|5
129|6|6|24|24
130|1|1|22|22
131|1|2|6|
132|4|5|7|
133|7|4|14|3.5
134|8|8|6|6
135|4|5|9|
136|4|5|7|
137|5|5|5|5
138|2|1|20|10
139|8|7|15|7.5
140|10|11|1|
141|3|2|14|7
142|5|5|7|7
143|4|4|9|9
144|5|5|7|7
145|9|9|3|3
146|1|1|12|12
147|6|7|9|
148|3|3|7|7
149|12|10|4|1.3333333333333
150|10|10|3|3
151|5|6|14|
152|5|5|5|5
153|8|9|2|
154|6|6|3|3
155|9|10|4|
156|10|10|3|3
157|5|6|1|
158|6|1|171|28.5
159|12|13|1|
160|5|1|41|8.2
161|10|8|3|1
162|7|5|30|10
163|12|13|1|
164|6|6|6|6
165|12|13|2|
166|5|1|236|47.2
167|12|10|2|0.66666666666667
168|12|3|46|4.6
169|1|1|20|20
170|6|4|14|4.6666666666667
171|3|3|14|14
172|8|8|3|3
173|4|1|37|9.25
174|2|2|12|12
175|8|8|3|3
176|9|9|5|5
177|0|1|7|
178|1|1|13|13
179|2|1|14|7
180|8|2|66|9.4285714285714
181|1|1|12|12
182|3|3|10|10
183|12|13|1|
184|12|9|5|1.25
185|9|4|8|1.3333333333333
186|3|1|46|15.333333333333
187|10|9|8|4
188|10|4|23|3.2857142857143
189|12|13|2|
190|12|7|6|1
191|7|7|45|45
192|5|5|15|15
193|8|1|45|5.625
194|4|4|9|9
195|2|1|34|17
196|10|11|1|
197|5|6|5|
198|8|7|13|6.5
199|7|2|11|1.8333333333333
200|6|1|102|17
201|6|6|24|24
202|9|10|2|
203|5|4|14|7
204|5|5|20|20
205|7|1|80|11.428571428571
206|7|8|3|
207|7|6|18|9
208|0|1|5|
209|2|1|34|17
210|5|6|6|
211|3|2|10|5
212|10|1|125|12.5
213|7|4|50|12.5
214|7|1|21|3
215|4|1|103|25.75
216|10|1|132|13.2
217|7|5|38|12.666666666667
218|9|7|16|5.3333333333333
219|8|4|36|7.2
220|5|5|10|10
221|6|7|12|
222|7|6|20|10
223|1|1|18|18
224|12|10|3|1
225|6|7|15|
226|7|7|9|9
227|2|1|17|8.5
228|10|1|6|0.6
229|8|8|10|10
230|9|9|4|4
231|6|2|82|16.4
232|12|9|9|2.25
233|9|9|8|8
234|10|10|4|4
235|12|8|2|0.4
236|9|1|46|5.1111111111111
237|12|13|1|
238|10|11|1|
239|7|1|61|8.7142857142857
240|8|4|14|2.8
241|12|1|64|5.3333333333333
242|2|1|31|15.5
243|9|10|1|
244|10|9|3|1.5
245|1|1|27|27
246|12|1|52|4.3333333333333
247|9|3|9|1.2857142857143
248|8|2|70|10
249|9|10|1|
250|2|1|22|11
251|9|10|1|
252|6|1|139|23.166666666667
253|10|11|1|
254|12|1|23|1.9166666666667
255|8|9|9|
256|12|5|5|0.625
257|12|9|3|0.75
258|12|13|1|
259|6|1|929|154.83333333333
260|12|5|17|2.125
261|12|13|2|
262|12|7|6|1
263|2|2|28|28
264|12|5|24|3
265|8|8|6|6
266|12|13|1|
267|8|2|17|2.4285714285714
268|6|7|11|
269|12|13|3|
270|2|1|34|17
271|5|5|9|9
272|12|13|1|
273|0|1|1|
274|5|6|4|
275|6|6|9|9
276|12|13|1|
277|5|6|1|
278|9|8|7|3.5
279|12|1|198|16.5
280|12|10|2|0.66666666666667
281|4|4|22|22
282|12|4|2|0.22222222222222
283|9|10|1|
284|1|1|9|9
285|6|4|6|2
286|5|6|8|
287|5|5|11|11
288|9|1|30|3.3333333333333
289|9|3|14|2
290|9|8|11|5.5
291|12|10|10|3.3333333333333
292|8|4|48|9.6
293|8|8|11|11
294|8|7|12|6
295|5|1|189|37.8
296|5|5|6|6
297|9|7|7|2.3333333333333
298|5|5|6|6
299|8|9|1|
300|10|4|2|0.28571428571429
301|3|3|7|7
302|3|3|10|10
303|7|7|5|5
304|4|1|87|21.75
305|5|4|12|6
306|9|9|5|5
307|4|1|62|15.5
308|8|6|18|6
309|7|3|25|5
310|10|10|3|3
311|10|8|12|4
312|5|1|71|14.2
313|8|3|34|5.6666666666667
314|8|6|15|5
315|7|6|10|5
316|10|11|2|
317|3|3|13|13
318|4|5|8|
319|6|1|99|16.5
320|2|1|15|7.5
321|9|10|2|
322|1|2|10|
323|6|7|6|
324|3|3|13|13
325|12|7|7|1.1666666666667
326|9|7|9|3
327|9|8|5|2.5
328|4|5|7|
329|8|6|13|4.3333333333333
330|9|1|71|7.8888888888889
331|10|10|6|6
332|4|5|7|
333|7|6|19|9.5
334|9|7|4|1.3333333333333
335|5|1|25|5
336|12|8|10|2
337|8|8|11|11
338|10|10|3|3
339|6|3|14|3.5
340|9|5|27|5.4
341|5|5|7|7
342|9|1|203|22.555555555556
343|12|13|1|
344|6|1|67|11.166666666667
345|5|6|5|
346|5|5|17|17
347|5|4|7|3.5
348|8|1|33|4.125
349|9|1|42|4.6666666666667
350|1|2|11|
351|10|9|7|3.5
352|1|1|28|28
353|8|8|6|6
354|2|1|12|6
355|3|4|10|
356|9|3|91|13
357|7|7|8|8
358|1|1|12|12
359|12|1|15|1.25
360|7|7|9|9
361|12|8|9|1.8
362|7|7|13|13
363|1|1|14|14
364|8|2|5|0.71428571428571
365|3|1|105|35
366|12|13|2|
367|1|1|15|15
368|5|6|5|
369|6|1|35|5.8333333333333
370|12|13|7|
371|10|11|1|
372|10|6|18|3.6
373|1|1|36|36
374|4|4|6|6
375|4|5|10|
376|7|7|8|8
377|12|13|2|
378|8|8|16|16
379|5|2|20|5
380|6|6|5|5
381|6|6|11|11
382|9|8|4|2
383|7|7|4|4
384|5|6|7|
385|5|5|8|8
386|9|9|4|4
387|7|5|40|13.333333333333
388|8|9|5|
389|0|1|16|
390|6|7|7|
391|10|1|57|5.7
392|5|1|39|7.8
393|9|9|5|5
394|7|7|8|8
395|5|3|44|14.666666666667
396|2|1|10|5
397|7|7|5|5
398|7|3|72|14.4
399|6|6|12|12
400|4|1|167|41.75
401|2|2|10|10
402|7|5|15|5
403|4|4|21|21
404|9|9|7|7
405|7|7|17|17
406|0|1|9|
407|9|10|1|
408|8|8|3|3
409|9|9|8|8
410|6|7|5|
411|12|13|3|
412|7|7|5|5
413|9|6|5|1.25
414|12|13|2|
415|9|2|40|5
416|4|4|21|21
417|6|2|74|14.8
418|2|1|78|39
419|5|1|978|195.6
420|8|3|57|9.5
421|8|3|101|16.833333333333
422|1|1|27|27
423|10|9|7|3.5
424|12|2|9|0.81818181818182
425|8|9|1|
426|12|1|79|6.5833333333333
427|7|7|10|10
428|6|6|12|12
429|7|1|102|14.571428571429
430|10|11|1|
431|6|6|7|7
432|6|6|9|9
433|12|13|1|
434|2|2|9|9
435|10|10|3|3
436|5|3|5|1.6666666666667
437|7|2|25|4.1666666666667
438|2|2|8|8
439|12|13|4|
440|9|10|1|
441|4|4|12|12
442|2|1|29|14.5
443|7|1|241|34.428571428571
444|12|4|2|0.22222222222222
445|8|6|31|10.333333333333
446|3|1|107|35.666666666667
447|6|6|4|4
448|12|11|3|1.5
449|10|9|7|3.5
450|12|13|2|
451|4|4|5|5
452|9|10|1|
453|12|13|1|
454|9|1|133|14.777777777778
455|12|8|14|2.8
456|10|1|34|3.4
457|9|6|21|5.25
458|2|2|14|14
459|9|8|6|3
460|12|9|14|3.5
461|7|6|6|3
462|9|10|1|
463|8|1|49|6.125
464|0|1|7|
465|2|1|48|24
466|10|7|13|3.25
467|6|6|5|5
468|6|6|8|8
469|3|1|31|10.333333333333
470|2|1|24|12
471|12|4|66|7.3333333333333
472|6|4|13|4.3333333333333
473|5|6|8|
474|8|1|24|3
475|3|2|20|10
476|9|9|6|6
477|7|7|6|6
478|6|7|5|
479|4|4|35|35
480|6|6|9|9
481|2|2|8|8
482|12|13|1|
483|7|5|32|10.666666666667
484|7|7|9|9
485|4|4|11|11
486|9|9|4|4
487|9|6|26|6.5
488|9|6|24|6
489|12|10|4|1.3333333333333
490|12|4|3|0.33333333333333
491|5|6|5|
492|8|9|6|
493|10|10|5|5
494|9|10|1|
495|8|9|1|
496|4|1|66|16.5
497|10|10|9|9
498|5|6|4|
499|4|1|105|26.25
500|4|4|9|9
501|9|10|1|
502|6|6|5|5
503|7|7|6|6
