Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|338922|351454|0|690376|690376|DateBudget|1
2018|82382|257383|0|339765|339765|DateBudget|2
2018|181169|42309|0|223478|223478|DateBudget|3
2018|32204270|9337751|0|41542021|41542021|DateBudget|4
2018|175959|40958|0|216917|216917|DateBudget|5
2018|240825|143352|0|384177|384177|DateBudget|6
2018|10415595|8662519|0|19078114|19078114|DateBudget|7
2018|228593|4029|0|232622|232622|DateBudget|8
2018|14107|3108|0|17215|17215|DateBudget|9
2018|42882|33004|0|75886|75886|DateBudget|10
2018|621802|81272|0|703074|703074|DateBudget|11
2018|524050|404013|0|928063|928063|DateBudget|12
2018|101323|69107|0|170430|170430|DateBudget|13
2018|481672|451074|0|932746|932746|DateBudget|14
2018|413673|360313|0|773986|773986|DateBudget|15
2018|143887|1580|0|145467|145467|DateBudget|16
2018|38137|22100|0|60237|60237|DateBudget|17
2018|133938|982|0|134920|134920|DateBudget|18
2018|111712|70027|0|181739|181739|DateBudget|19
2018|673271|292425|0|965696|965696|DateBudget|20
2018|140482|0|0|140482|140482|DateBudget|21
2018|85262|69275|0|154537|154537|DateBudget|22
2018|854203|184542|0|1038745|1038745|DateBudget|23
2018|155145|136512|0|291657|291657|DateBudget|24
2018|575058|396088|0|971146|971146|DateBudget|25
2018|43177|4844|0|48021|48021|DateBudget|26
2018|85729|73710|0|159439|159439|DateBudget|27
2018|106438|15986|0|122424|122424|DateBudget|28
2018|205784|3011|0|208795|208795|DateBudget|29
2018|132937|60453|0|193390|193390|DateBudget|30
2018|9571|11184|0|20755|20755|DateBudget|31
2018|90122|67360|0|157482|157482|DateBudget|32
2018|87998|17583|0|105581|105581|DateBudget|33
2018|342000|400972|0|742972|742972|DateBudget|34
2018|84016|142245|0|226261|226261|DateBudget|35
2018|697675|1125224|0|1822899|1822899|DateBudget|36
2018|228211|143064|366483|371275|4792|DateBudget|37
2018|19934|38829|0|58763|58763|DateBudget|38
2018|21227|17939|0|39166|39166|DateBudget|39
2018|1869561|465456|0|2335017|2335017|DateBudget|40
2018|95849|228790|0|324639|324639|DateBudget|41
2018|117055|519|0|117574|117574|DateBudget|42
2018|331938|6674|0|338612|338612|DateBudget|43
2018|252181|250984|0|503165|503165|DateBudget|44
2018|168965|29914|0|198879|198879|DateBudget|45
2018|304733|108556|0|413289|413289|DateBudget|46
2018|860560|318850|0|1179410|1179410|DateBudget|47
2018|153266|29493|0|182759|182759|DateBudget|48
2018|280572|178597|0|459169|459169|DateBudget|49
2018|26456|20822|0|47278|47278|DateBudget|50
2018|25239|3177|0|28416|28416|DateBudget|51
2018|4894719|2182732|6787362|7077451|290089|DateBudget|52
2018|372937|784043|0|1156980|1156980|DateBudget|53
2018|256503|163672|0|420175|420175|DateBudget|54
2018|373589|250050|0|623639|623639|DateBudget|55
2018|5749001|2789200|0|8538201|8538201|DateBudget|56
2018|98138|1297|0|99435|99435|DateBudget|57
2018|2315933|269326|0|2585259|2585259|DateBudget|58
2018|96507|132|0|96639|96639|DateBudget|59
2018|92773|11712|0|104485|104485|DateBudget|60
2018|238533|0|0|238533|238533|DateBudget|61
2018|334220|90747|0|424967|424967|DateBudget|62
2018|412896|818|0|413714|413714|DateBudget|63
2018|39555|49727|0|89282|89282|DateBudget|64
2018|6820666|1304450|0|8125116|8125116|DateBudget|65
2018|4765767|1949512|0|6715279|6715279|DateBudget|66
2018|192513|98402|0|290915|290915|DateBudget|67
2018|106820|46517|0|153337|153337|DateBudget|68
2018|798521|856704|0|1655225|1655225|DateBudget|69
2018|84400|47687|0|132087|132087|DateBudget|70
2018|38045|22327|0|60372|60372|DateBudget|71
2018|53302|26512|0|79814|79814|DateBudget|72
2018|1473759|6196820|0|7670579|7670579|DateBudget|73
2018|244592|116830|0|361422|361422|DateBudget|74
2018|32084|45656|0|77740|77740|DateBudget|75
2018|3998567|2796676|0|6795243|6795243|DateBudget|76
2018|581805|72|0|581877|581877|DateBudget|77
2018|328641|112742|0|441383|441383|DateBudget|78
2018|58400|47829|0|106229|106229|DateBudget|79
2018|1624747|1082429|0|2707176|2707176|DateBudget|80
2018|3041952|432002|0|3473954|3473954|DateBudget|81
2018|220301|65111|0|285412|285412|DateBudget|82
2018|1908957|648882|0|2557839|2557839|DateBudget|83
2018|152956|16262|0|169218|169218|DateBudget|84
2018|358369|15945|0|374314|374314|DateBudget|85
