ID|TotalSales|TotalNetSales|TotalOtherIncome|OwnWorkCapitalised|ChangeInventoryProd|OtherOperatingIncome|iOOIProvisionRelease|iOOISubsidies|iOOISubsidiesExtraord|iOOIExtraordinary|TotalRevenues|Cogs|iCogsRawMaterials|iCogsMerchandise|iCogsSubdeliveries|PersonnelExpenses|SGAOtherOpExpenses|iSGABadDebtProv|iSGAExtraordinary|DepreciationAndAmortization|Ebit|Ebitda|EbitdaMargin|TradingMargin|ProductionMargin|InterestIncome|InterestExpense|NetInterestResult|FXGains|FXLosses|NetFXResult|GroupInvestResult|iSubsidiarySales|NetFinancialResult|ExtraordinaryIncome|iExtraordFixedAssetsReval|iExtraordProvRelease|ExtraordinaryExpenses|iExtraordFAWriteDowns|iExtraordProvTransfer|NetExtraordinaryResult|IncomeTaxes|NetProfitLoss|CashBankDeposits|STSecurities|OtherSTFinAssets|CashAndCashEquivalents|TradeReceivables|IntragroupReceivables|ReceivablesTaxAuthority|OtherReceivables|iOtherReceivablesOwners|TotalReceivables|RawMaterials|Merchandise|TotalInventory|PrepaidExpenses|TotalCurrentAssets|LandBuildings|PlantMachinery|FurnitureEquipment|AdvancesTangibleAssets|TangibleAssetsInProgress|TangibleFixedAssets|RightsPatents|OtherCapitalizedExpenses|IntangibleFixedAssets|OtherLTFinancialAssets|TotalFixedAssets|TotalAssets|STBankLoans|OtherSTLoansNonBank|SubtotalSTInterestBearingDebt|STAccountsPayables|STIntragroupPayables|STProvisions|AccruedExpenses|PayablesTaxAuthority|DividendsPayable|OtherSTLiabilities|TotalSTLiabilities|LTBankLoans|SHLoansGranted|CapitalizedLeaseObligations|SubtotalLTInterestBearingDebt|OtherLTLiabilities|TotalLTLiabilities|TotalLiabilities|SeniorDebt|ShareCapital|SharePremium|RevaluationReserve|OtherReserves|AccumulatedRetainedEarnings|TreasuryStock|OtherEquity|Equity|EquityRatio|BalFigCheck|NoEmployeesEop|NoEmployeesAvg|ProductivityPerEmployee|AvgEmployeeCost|CollectionPeriod|InventoryPeriod|PayablesPeriod|CurrentRatio|QuickRatio|LiquidAssetsRatio|OperatingCycle|FinancingGap|WorkingCapitalNeed|NetSeniorDebtByEbitda|InterestCover|EBITDAInterestCoverage|EstimatedInterestRate|AssetTurnover|FixedAssetTurnover|CurrentAssetTurnover|Gearing|Leverage|STFinancingRatio|WkLoansRatio|ReturnOnAssets|ReturnOnFixedAssets|ReturnOnCurrentAssets|ReturnOnEquity|CFSustTotalSales|CFSustEBITDA|CFMaintCapex|CFInterestExpense|CFIncomeTax|CFMandatoryDividends|CFFreeCashFlow|CFMultiplier|CFCashFlowValuation|CFMaxLeverageST|CFMaxLeverageLT|CFSeniorDebt|CFWkExcessDeficit|CFHeadroomAvailable|CFHeadroomST|CFHeadroomLT|CFSeniorDebtByFCF|CFHeadroomByFCF|EstimatedFreeAssets|TotalOverdueDebts|TotalOverduePayables|OverduePayables1M|OverduePayables3M|OverduePayables12M|OverdueTaxDebts|OverdueDebtsOther|iTotalOverdueReceivables|TotalOverdueReceivables|OverdueReceivablesBacklog|iOverdueReceivablesBudget|OverdueTaxReceivables|LTReceivables|UnsaleableInventory|ShareOverdueDebts|ShareOverduePayables|ShareOverdueReceivables|ShareUnsaleableInventory
1|8957830866|8870586009|60259777|0|0|60259777|15138111|0|0|0|8930845786|8454839253|20231242|8026685169|407922842|112203814|3536408|0|0|8471918|351794393|360266311|0.04|1.11|0|3550509|77839|3472670|27578958|15848435|11730523|0|0|15203193|4640645|0|4640645|7582401|0|7582401|-2941756|58573700|305482130|284270016|271601080|-254258114|301612982|477684041|0|817444|583566|0|479085051|0|379770614|379770614|5458902|1165927549|694467|3606594|10951965|0|4202839|19455865|74175|0|74175|108728|19638768|1185566317|0|0|0|240224647|0|16406136|0|583675763|0|37928814|878235360|0|0|0|0|0|0|878235360|0|929970|0|2170|427706|305971111|0|0|307330957|0|0|708|679|13192682|165249|19|16|10|1.33|0.90|0.25|36|25|287692189|-0.84|4475|4628|0|8|456|8|0|0|0|0|0|16|0|1|8957830867|360266312|2541575|77840|56274649|0|301372248|4|1205488992|-19379695|1224868687|1|-287692189|1493181180|-19379695|1512560875|-1|5|316278605|0|0|0|0|0|0|0|0|0|0|0|0|108728|0|0|0|0|0
2|3882396770|3882396770|48077887|0|0|48077887|0|0|0|0|3930474657|3460175636|2161060862|194658|1298920116|79512933|393206517|5965921|0|12664483|-15084912|-2420429|(0.00)|1.00|1|2149085|0|2149085|18679|21342|-2663|0|0|2146422|18193689|78693|18114996|653772|339347|314425|17539917|3036284|1565143|172752348|61793|46491012|219305153|570168010|7043155|0|7180149|0|584391314|8|0|8|16918545|820615020|68643558|8391133|4237575|0|350968|81623234|13420110|0|13420110|10485|95053829|915668849|0|0|0|284465599|257358193|6243764|3517552|66520206|0|20042418|638147732|0|0|41061718|41061718|20306737|61368455|699516187|41061718|62109560|0|46150237|104719076|3173789|0|0|216152662|0|0|945|996|3897989|79832|54|0|57|1.29|1.29|0.24|54|-3|182467288|73.64|0|-|0|4|41|5|0|0.05|0|0|0|0|0|0|3882396771|-2420428|3799345|1|-2413586|0|-3806188|4|-15224752|-53756410|38531658|41061719|-182467288|126180817|-53756410|179937227|37|-33|169666539|0|0|0|0|0|0|0|338063749|0|338063749|109194288|0|10485|0|0|0|0|0
3|3141357439|3130805436|38436347|0|31588162|6848185|0|0|5756553|0|3169241783|1972716783|1320864409|201593690|450258684|202601311|15167143|1577556|0|137612067|841144479|978756546|0.31|1.09|2|1042514|89107|953407|30846680|38903240|-8056560|0|0|-7103153|1868954|0|1868954|4587814|0|4587814|-2718860|133781817|697540649|341709710|0|90254|341799964|80934547|122959533|8992904|831762|0|213718746|174627120|112308408|286935528|238417|842692655|185691635|572952329|7517814|35779|9487657|775685214|3910683|0|3910683|32000|779627897|1622320552|0|0|0|258732323|0|1685250|0|8596737|0|25209260|294223570|0|134915914|0|134915914|28698004|163613918|457837488|134915914|100881150|0|66237064|20176231|977188619|0|0|1164483064|1|0|2506|2423|1296474|83616|24|53|48|2.86|1.89|0.21|77|29|548469085|-0.21|9429|10984|0|2|4|4|0|0|0|0|0|1|1|1|3141357440|978756547|41283620|89108|134568860|0|802814959|4|3211259838|206430704|3004829134|134915915|-548469085|3624813008|206430704|3418382304|-1|5|439605107|0|0|0|0|0|0|0|0|0|0|0|0|3532075|0|0|0|0|0
4|1787258789|1785980667|50344200|0|40631544|9712656|2927705|0|0|0|1836324867|1380854329|1020796423|56238739|303819167|142070457|15764846|0|0|109020064|188615171|297635235|0.16|1.07|1|776869|88|776781|19486570|62200334|-42713764|0|0|-41936983|7053910|6787361|266549|45975403|42755114|3220289|-38921493|22831386|84925309|24100|41911141|76772|42012013|130803438|572997487|16145506|594358|0|720540789|336791922|114995060|451786982|1880054|1216219838|575011017|465684918|4135677|0|18963773|1063795385|13272815|0|13272815|198436|1077266636|2293486474|0|0|0|127973019|56264493|2138282|0|17067297|0|6449024|209892115|0|0|0|0|15233081|15233081|225125196|0|338327800|0|355435437|77434128|1297163913|0|0|2068361278|1|0|1832|1723|1037295|82455|144|119|49|5.79|3.64|0.02|263|214|1006327723|-0.14|2134527|3382219|0|1|2|1|0|0|0|0|0|0|0|0|1787258790|297635236|32706019|89|30178413|0|234750715|4|939002858|536177637|402825221|1|-1006327723|1945330580|536177637|1409152943|-4|8|756360914|2284250|2284250|409479|1874771|0|0|0|0|0|0|0|0|198436|0|0|0|0|0
5|1769402992|1768907615|-28628367|0|-32782814|4154447|0|473664|0|0|1740279248|1510722081|1213034618|49780119|247907344|103172338|15124653|3946110|0|120604351|-9344175|111260176|0.06|1.03|1|636108|4932376|-4296268|94588872|90100503|4488369|33877148|0|34069249|3902848|0|3902848|10708838|0|10708838|-6805990|0|17919084|14133632|4851674|318|18985624|245484262|0|90677423|-921150|0|335240535|234981268|65104503|300085771|1000339|655312269|444621214|710784603|1362590|6810161|4029223|1167607791|16176353|0|16176353|118022725|1301806869|1957119138|263151886|0|263151886|118420623|0|138881579|0|35418388|0|-58726937|497145539|110667875|63200000|65552442|239420317|0|239420317|736565856|502572203|10000|0|13639493|276191324|930712465|0|0|1220553282|1|0|2027|1945|909719|53045|51|73|29|1.32|0.71|0.01|123|95|158166730|4.35|-1|23|0|1|1|3|0|0|2|0|0|0|0|0|1769402993|111260177|36181305|4932377|-2284248|0|72430743|4|289722971|401332653|-111609682|502572204|-421318616|208469383|208469383|0|1|3|580360984|24210225|24210225|22802504|1309999|97722|0|0|11293784|0|0|0|0|116996004|0|0|0|0|0
6|1697686017|1469749224|1034238|0|0|1034238|148906|0|0|0|1470783462|1428626545|-20572|1134042723|294604394|11591722|7822939|0|0|0|22742256|22742256|0.02|1.30|0|2121974|220269|1901705|108688|130967|-22279|0|0|1879426|0|0|0|0|0|0|0|3427175|21194507|745164|0|16576042|17321206|46795750|153994401|39051393|60596|0|239902140|0|0|0|15120|257238466|0|0|0|0|0|0|0|0|0|0|0|257238466|26097|0|26097|176535557|0|0|0|1809810|0|1640|178373104|0|0|0|0|6310522|6310522|184683626|26097|762520|3494775|0|5490144|62807401|0|0|72554840|0|0|46|46|36906218|251994|43|0|45|1.44|1.44|0.07|43|-2|78865362|-0.76|95|103|8|7|0|7|0|0|0|0|0|0|0|0|1697686018|22742257|0|220270|3603518|0|18918469|4|75673876|61555133|14118743|26098|-78891459|154539237|61555133|92984104|-4|8|-64882952|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|1257024008|1257024008|2601840|0|0|2601840|0|0|0|0|1259625848|1181625020|35619471|942098317|203907232|111866552|14356351|2042472|0|35746564|-83968639|-48222075|(0.04)|1.28|0|68|853007|-852939|133800|227313|-93513|0|0|-946452|0|0|0|0|0|0|0|0|-84915091|33422220|0|13204798|46627018|4611392|12234895|17776019|8373763|0|42996069|20225156|116521716|136746872|2212287|228582246|89405403|72561106|35227395|51821|1152543|198398268|7114440|0|7114440|1142035|206654743|435236989|0|0|0|188611959|141292375|3775505|0|5404333|0|10183202|349267374|0|0|1376786|1376786|0|1376786|350644160|1376786|40662248|0|27837202|74548703|-58455324|0|0|84592829|0|0|3008|2987|420832|37451|5|42|102|0.65|0.26|0.11|47|-55|-120685128|0.94|-97|-57|1|3|6|5|0|0|0|0|0|0|0|-1|1257024009|-48222074|10723969|853008|-13571463|0|-46227588|4|-184910351|-169524433|-15385918|1376787|120685128|-306972266|-306972266|0|-3|7|77838932|17582474|17582474|16599715|952991|29768|0|0|0|0|0|0|0|0|0|0|0|0|0
8|1170672418|1170672418|10831599|0|0|10831599|5243312|0|0|0|1181504017|752377793|149727556|12313|602637924|205662521|53004909|0|0|0|170458794|170458794|0.14|14.43|2|1569009|0|1569009|39066|39043|23|0|0|1569032|10025644|0|10025644|30968472|0|30968472|-20942828|28582406|122502592|6481472|0|-217178|6264294|299372560|379783165|6050652|612877|0|685819254|9571412|0|9571412|167390|701822350|0|0|0|0|0|0|0|0|0|158332|158332|701980682|0|0|0|248195048|0|115185400|281814|26078412|0|38433113|428173787|0|0|0|0|51297908|51297908|479471695|0|71750240|13930667|0|14350048|122478032|0|0|222508987|0|0|2521|2545|459989|80810|212|5|120|1.64|1.62|0.01|216|96|273648563|-0.04|0|0|0|2|7394|2|0|0|0|0|0|774|0|1|1170672419|170458795|0|1|27273407|0|143185387|4|572741548|267216879|305524669|1|-273648563|846390110|267216879|579173231|-2|6|30374462|0|0|0|0|0|0|0|155883193|0|0|0|0|158332|0|0|0|0|0
9|1122155678|1086551930|31388296|0|0|31388296|12597272|0|0|0|1117940226|580798848|6227702|272110402|302460744|98336544|31055556|0|0|16326017|391423261|407749278|0.36|3.95|0|1801462|7585|1793877|1765583|1297162|468421|0|0|2262298|20161089|0|20161089|13701203|0|13701203|6459886|63381967|336763478|8141720|0|20996080|29137800|209312668|363111774|15446254|411931|0|588282627|13592751|255831564|269424315|1062927|887907669|1565067|22923693|16008224|0|229094|40726078|1221222|0|1221222|0|41947300|929854969|0|0|0|43157460|25589333|10955299|0|414585746|0|4261906|498549744|0|0|0|0|0|0|498549744|0|73915960|0|10008|15168379|342210878|0|0|431305225|0|0|709|686|1635795|143348|186|169|43|1.78|1.24|0.03|356|312|389357925|-0.07|51368|53757|0|1|27|1|0|0|0|0|0|8|0|1|1122155679|407749279|4897805|7586|62626508|0|340217380|4|1360869519|336646704|1024222815|1|-389357925|1750227443|336646704|1413580739|-1|5|238648865|2771517|2771517|2647622|110383|13512|0|0|27436609|0|0|0|0|120360|0|0|0|0|0
10|1122133412|897554948|1859419|0|0|1859419|0|0|0|0|899414367|829737376|1798164|543851976|284087236|40289785|3713345|1441|0|5080213|20593648|25673861|0.03|1.59|0|60087|85|60002|530356|647551|-117195|0|0|-57193|0|0|0|631216|0|631216|-631216|3627954|16277285|98533|0|800001|898534|62379227|98723822|1156522|2112199|0|164371770|1368486|93891|1462377|60384|166793065|13138|6659565|807544|0|200713|7680960|11888495|0|11888495|21486198|41055653|207848718|0|0|0|64076649|0|2968696|0|1293095|0|7382119|75720559|0|63386961|0|63386961|0|63386961|139107520|63386961|43072112|0|0|8976093|16692993|0|0|68741198|0|0|239|227|4943319|177488|52|1|28|2.20|2.18|0.00|53|25|91072506|2.43|241572|302045|0|5|27|7|1|0|0|0|0|0|0|0|1122133413|25673862|1524064|86|3294970|0|20854742|4|83418968|90113588|-6694620|63386962|-91072506|111104512|90113588|20990924|-1|5|9566849|0|0|0|0|0|0|0|0|0|0|0|270920|104407|0|0|0|0|0
11|1019376739|854864686|42966952|0|9115966|33850986|0|0|0|0|897831638|759752690|463931747|57840547|237980396|59072526|14067585|775673|0|34752277|30186560|64938837|0.07|(1.22)|1|15617|641050|-625433|14531286|10317368|4213918|0|0|3588485|0|0|0|19359936|0|19359936|-19359936|6332111|8082998|8604681|15505174|0|24109855|80893246|31671198|12685192|2744772|0|127994408|40863755|32738794|73602549|11187433|236894245|108486010|125570465|1888744|0|30634939|266580158|4133096|0|4133096|31002|270744256|507638501|104717|0|104717|180983168|163708019|19252331|934421|2537851|0|9946353|377466860|0|0|0|0|0|0|377466860|104717|6731970|13339849|14288015|12115942|83695865|0|0|130171641|0|0|707|665|1532897|88831|40|35|166|0.63|0.43|0.05|76|-90|-140572615|-0.37|48|101|6|2|4|4|0|0|0|0|0|0|0|0|1019376740|64938838|10425683|641051|4727282|0|49144822|4|196579289|-175765186|372344475|104718|140467898|56006673|-175765186|231771859|3|1|106743113|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
12|987377839|929788443|3219696|0|0|3219696|0|0|0|0|933008139|802934159|2386306|724794616|75753237|54112118|5547598|2872267|0|1407151|69007113|70414264|0.08|1.27|0|39114|10684316|-10645202|1525249|41786822|-40261573|0|0|-50906775|111666337|0|111666337|97836044|0|97836044|13830293|4415148|27515483|2|0|0|2|256348887|0|7543752|0|0|263892639|0|144320015|144320015|13769|408226425|895452|2500371|108335|0|0|3504158|56602|6966429|7023031|124924|10652113|418878538|2873299|0|2873299|42861919|0|16228733|141871|3978467|0|1364035|67448324|0|260369485|0|260369485|35469|260404954|327853278|263242784|13689|0|0|226901|90784670|0|0|91025260|0|0|209|196|5037642|276082|95|66|19|6.05|3.91|0.00|160|141|340778101|3.74|7|7|0|2|93|2|3|1|0|0|0|3|0|0|987377840|70414265|422145|10684317|9331648|0|49976155|4|199904621|296213352|-96308731|263242785|-343651400|280313236|280313236|0|-2|6|179247222|226528|226528|215434|925|10169|0|0|35717963|0|0|0|0|80153|0|0|0|0|0
