ID|VATStatusAge|VATStartAge|VATEndAge|VATCollectionStartAge|VATCollectionEndAge|VATCollectionUpdateAge|VATCollectionPublishAge|VATInactivationAge|VATReactivationAge|VATCancellationAge|VATSplitStartAge|VATSplitCancellationAge
1||||||||||||
2||||||||||||
3||||||||||||
4||||||||||||
5||||||||||||
6||25|||||||||1|
7||25||||||||||
8||25||||||||||
9|25|11||||||||||
10||25||||||||||
11|25|11||||||||||
12|20|6||||||||||
13||25||||||||||
14||25||5||6|6|||||
15||25||||||||||
16||25||||||||||
17||25||5||6|6|||||
18||25||5||6|6|||||
19|25|9||||||||||
20||25||||||||||
21||25||||||||||
22||25|5|||||6||||
23||||||||||||
24||25|6|||||6||||
25|25|11||||||||||
26|25|9||||||||||
27||25||||||||||
28|25|18||||||||||
29||25||5||6|6|||||
30|25|12||||||||||
31||25||||||||||
32|25|2|2|2|2|2||||||
33|23|20||||||||||
34||25||5||6|6|||||
35||25||||||||||
36||25||||||||||
37||25|2|5|2|2|2|0||||
38||25||||||||||
39||25||5|1|1|1|||||
40||25||||||||||
41||25||5||6|6||||0|
42|25|7||||||||||
43||25||5||6|6|||||
44|25|25||||||||||
45||25||||||||||
46||25||5||6|6|||||
47||25||||||||||
48||25|-1|5|-1|-1|-1|||||
49|25|11||||||||||
50||25||||||||||
51||25||||||||||
52||25||5||6|6|||||
53||25|6|||||4||||
54||25||||||||||
55||25||5|4|4|4|||||
56||25||5||6|6|||||
57||25||5||6|6|||||
58||25||||||||||
59||25||5|4|4|4|||||
60|25|10||||||||||
61||20||||||||||
62||25||||||||||
63||25||5|0|0|0|||||
64||25||5||6|6|||||
65|25|8||||||||||
66||25|4|5|4|4|4|2||||
67||25||||||||||
68||25|5|5|5|5|5|||||
69||25||||||||||
70||25||||||||||
71||25||||||||||
72||25||||||||||
73||25|5|5|5|5|5|||||
74|25|8||||||||||
75||25|4|5|4|4|4|||||
76|25|0|0|||||||||
77||25||5|0|1|1|||||
78||25||5||6|6|||||
79|25|12||||||||||
80||25||||||||||
81||25|3|5|3|3|3|3||||
82||25||||||||||
83||25||5||6|6|||||
84||25||5||6|6||||0|
85||25||5||6|6|||||
86|25|10||||||||||
87||25||||||||||
88|25|15||||||||||
89||25|||||||||0|
90|26|12||||||||||
91||25|2|5|2|2|2|1||||
92||25|2|5|2|2|2|2||||
93||25||||||||||
94||25||||||||||
95||25||5|4|4|4|||||
96||25||||||||||
97||25|||||||||0|
98||25||5||6|6|||||
99|25|10||||||||||
100|25|9||||||||||
101|25|8||||||||||
102|25|8||||||||||
103||25||5||6|6||||0|
104||25||5||6|6|||||
105|25|7||||||||||
106||25||||||||||
107|25|8||||||||||
108|25|15||||||||||
109||25|1|5|1|0|0|1|0|||
110||25||||||||||
111||25||||||||||
112|25|16||||||||||
113||25|1|5|1|1|1|0||||
114||25||5|4|4|4|||||
115||25||5||6|6|||||
116|25|9||||||||||
117||24||||||||||
118|25|9||||||||||
119|25|16||||||||||
120|25|6|||||||6|||
121||25||5||6|6|||||
122|25|20||||||||||
123||24||5|4|4|4|||||
124||25||||||||||
125||||||||||||
126|25|6|||||||6|||
127||25||5||6|6|||||
128||25|6|||||6||||
129|26|12||||||||||
130|25|12||||||||||
131||-1||5|2|2|2|||||
132|25|12||||||||||
133||25||||||||||
134|20|20||||||||||
135|25|21||||||||||
136|25|12||||||||||
137|25|2|2|4|4|4|||2|||
138||||||||||||
139||||||||||||
140||||||||||||
141|23|10||||||||||
142||||||||||||
143|25|17||||||||||
144||||||||||||
145||||||||||||
146||||||||||||
147||24|6|||||1||||
